"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2021","23.70","21.57","23.70","21.57","85.25K","9.80%"
"Jan 22, 2021","21.58","18.47","22.23","18.47","88.56K","16.99%"
"Jan 21, 2021","18.45","21.85","21.85","18.45","63.31K","-15.56%"
"Jan 20, 2021","21.85","20.60","21.85","19.48","42.18K","6.06%"
"Jan 19, 2021","20.60","22.01","22.30","20.60","51.07K","-6.43%"
"Jan 18, 2021","22.01","23.34","23.37","21.45","48.29K","-5.75%"
"Jan 17, 2021","23.36","20.12","23.46","20.09","67.70K","16.07%"
"Jan 16, 2021","20.12","20.86","22.57","19.92","85.04K","-3.11%"
"Jan 15, 2021","20.77","17.98","20.77","17.96","130.11K","15.56%"
"Jan 14, 2021","17.97","15.92","17.97","15.73","30.96K","12.91%"
"Jan 13, 2021","15.92","13.98","15.92","13.98","36.40K","13.86%"
"Jan 12, 2021","13.98","14.64","15.39","13.98","25.68K","-4.49%"
"Jan 11, 2021","14.64","16.22","16.22","13.30","52.89K","-9.70%"
"Jan 10, 2021","16.21","17.58","18.08","16.21","58.66K","-7.88%"
"Jan 09, 2021","17.60","15.24","17.60","15.24","37.26K","15.36%"
"Jan 08, 2021","15.25","16.00","16.00","15.02","43.48K","-4.93%"
"Jan 07, 2021","16.04","17.25","17.25","16.04","46.57K","-7.17%"
"Jan 06, 2021","17.28","14.53","17.28","14.53","55.25K","19.11%"
"Jan 05, 2021","14.51","13.62","14.51","13.56","31.04K","6.61%"
"Jan 04, 2021","13.61","13.75","14.67","13.21","119.85K","-0.23%"
"Jan 03, 2021","13.64","12.21","13.64","11.92","76.09K","11.72%"
"Jan 02, 2021","12.21","11.85","12.21","11.55","54.33K","3.04%"
"Jan 01, 2021","11.85","11.24","12.26","11.21","29.36K","5.45%"
"Dec 31, 2020","11.24","11.25","11.40","11.21","19.30K","-0.09%"
"Dec 30, 2020","11.25","11.78","11.78","11.25","13.41K","-4.55%"
"Dec 29, 2020","11.78","12.62","12.62","11.32","34.76K","-6.61%"
"Dec 28, 2020","12.62","12.14","12.89","12.14","17.85K","4.30%"
"Dec 27, 2020","12.10","10.98","12.53","10.89","55.97K","10.17%"
"Dec 26, 2020","10.98","11.54","11.61","10.83","23.42K","-4.87%"
"Dec 25, 2020","11.54","11.59","11.62","11.12","13.18K","-0.42%"
"Dec 24, 2020","11.59","11.02","11.59","10.30","24.70K","5.70%"
"Dec 23, 2020","10.97","12.79","12.79","10.97","51.50K","-14.24%"
"Dec 22, 2020","12.79","12.32","12.80","12.13","19.59K","3.76%"
"Dec 21, 2020","12.32","13.06","13.16","12.32","27.13K","-5.62%"
"Dec 20, 2020","13.06","13.48","13.65","13.06","18.92K","-3.12%"
"Dec 19, 2020","13.48","13.49","13.89","13.43","13.04K","-0.11%"
"Dec 18, 2020","13.49","13.46","13.79","13.46","11.03K","0.36%"
"Dec 17, 2020","13.45","13.49","14.40","13.44","49.43K","-0.29%"
"Dec 16, 2020","13.48","12.68","13.48","12.39","20.47K","6.20%"
"Dec 15, 2020","12.70","12.84","12.85","12.51","12.32K","-1.07%"
"Dec 14, 2020","12.84","12.94","12.94","12.43","15.65K","-0.80%"
"Dec 13, 2020","12.94","12.22","12.98","12.06","17.54K","5.89%"
"Dec 12, 2020","12.22","11.64","12.22","11.64","9.72K","4.97%"
"Dec 11, 2020","11.64","11.92","11.92","11.59","9.15K","-2.38%"
"Dec 10, 2020","11.92","12.64","12.64","11.92","6.34K","-5.65%"
"Dec 09, 2020","12.64","12.14","12.64","11.98","16.84K","4.14%"
"Dec 08, 2020","12.14","13.07","13.07","12.14","19.13K","-7.13%"
"Dec 07, 2020","13.07","13.47","13.47","13.07","7.10K","-2.97%"
"Dec 06, 2020","13.47","13.17","13.47","13.13","5.69K","2.40%"
"Dec 05, 2020","13.15","12.77","13.22","12.77","11.59K","2.95%"
"Dec 04, 2020","12.77","13.95","13.95","12.69","16.88K","-8.45%"
"Dec 03, 2020","13.95","14.02","14.05","13.95","12.92K","-0.44%"
"Dec 02, 2020","14.02","13.36","14.02","13.36","9.18K","4.93%"
"Dec 01, 2020","13.36","14.23","14.27","13.36","29.74K","-6.17%"
"Nov 30, 2020","14.23","13.35","14.23","13.35","21.38K","6.62%"
"Nov 29, 2020","13.35","13.10","13.35","13.03","5.92K","2.12%"
