text,score,magnitude
"b'Loving the institutional demand for #bitcoin atm, still can\xe2\x80\x99t believe that this discord group is behind all this dumps and pumps and making so much from it \xf0\x9f\x98\x82\nhttps://t.co/TyjeTRM3kP'",0.1,0.1
b'#Earn $43 of #FREE $BAND via #Coinbase !!\nhttps://t.co/H9QN7cXEsy\n\nEnjoy the free #crypto!\nOnly 4 more lucky winners!\n\n#WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #Binance #altcoin #trading #news',0.4,2.3
"b'Egalitarian and democratic for the first time in human history this ladder does not care about your bloodline, pedigree, connections, education or insider information.\n\nThis ladder can not be knocked down when someone wants to be the last person up.\n\nThis ladder is #Bitcoin. https://t.co/RdME7uSYOK'",0.0,1.5
"b""Who pulls the trigger on #Bitcoin's volatility?\n\nhttps://t.co/GTuPOHZsoR""",0.1,0.5
b'#Earn $59 of #FREE $COMP via #Coinbase !!\nhttps://t.co/QJYoCSQwzT\n\nEnjoy the free #crypto!\nOnly 3 more lucky winners!\n\n#WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #Binance #altcoin #trading #news',0.3,1.8
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'The US dollar was originally a layer 2 scaling solution for gold. Then the Fed broke the peg but the people lacked the technology to UASF. #Bitcoin fixed this. https://t.co/TEl2PW0GJL',-0.1,1.5
"b'#Bitcoin to Fiat converter by @djbooth007\n\nI often find it difficult to convert a certain amount of bitcoin or satoshis into Euro or USD. Yes, I also struggle \xf0\x9f\x98\x89 Now there is an easy solution: https://t.co/iGRRMSCNwi'",-0.1,1.1
"b""I tweeted this video out in memory of my father who passed away in 2008.\n\nThis clip is nearly 40 years old, and never more appropriate given today's market.\n\nHelp me honor him. \n\nThis deserves a million views. \n\nRetweet.\n\n$SPX $BTC #Bitcoin #stocks\n\n https://t.co/DRp2QqUi5R""",0.1,2.3
"b""DOWNLOAD #PiNetwork !!\n\n- New #Bitcoin 2.0 !\n- Over 10 million members worldwide !\n- Currently in phase 2/3 !\n- DECEMBER 2021 MAINNET !\n\nhttps://t.co/O29DuQmzOi \n'AceLolzz' invitation code\n\n#crypto #WIN #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #cryptonews #BTC #altcoin""",0.3,2.2
