text,score,magnitude
b'POINT SHOT !!! \xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\n\nALGO / BTC (Before &amp; after)\n\n#ALGOBTC hit all the targets in #chart below.\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\n\n47 % profit in pocket totally.\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\n\nMission completed for me again.\xf0\x9f\x98\x83\n\n#algo #algobtc #algousdt $algo #algorand #Bitcoin #BTC #ethereum #ETH $eth $btc $bnb #BNB #BTCUSDT https://t.co/u3vc7YnqwU https://t.co/vx9DtNFDRD',0.1,1.9
"b'Look for $ETH #Ethereum to close above the Jan 10th high, to start building a new leg https://t.co/tuz5f3wXbQ'",-0.2,0.2
"b'Meet #ProtocolFinance\n(DeFi Product Suite)\n\n\xf0\x9f\x9a\xa8 #CryptoGiveaway \xf0\x9f\x9a\xa8\n\nWin $50 in #ETH, #TRX or #BTC\n(2 Winners $25 each)\n\n\xf0\x9f\x92\xa5 #Retweet\n\xf0\x9f\x92\xa5 Follow @ProtocolFinance\n\xf0\x9f\x92\xa5 Follow @JoshRoomsburg\n\xf0\x9f\x92\xa5 Tag a Friend + $PFI\n\nEnds in 48 hours! \xe2\x8f\xb3\n\n#Ad #Cryptocurrency\n$BTC $ETH $TRX #Bitcoin https://t.co/zauWq7eNhj'",0.2,1.5
"b'First 10 Buyers Get 100% BONUS + Additional Stuffs\n\n0.02 ETH = 20,000,000 $SDF\n0.05 ETH = 100,000,000 $SDF\n0.08 ETH = 200,000,000 $SDF\n\nTO BUY,\nSEND ETHER : 0xA71Be973D55AB28C1F62d75076e5EC1868a61F7A\n\nRETWEET\nFOLLOW\nCOMMENT ETH\n\n#ICO #Airdrops #ETH https://t.co/a8LNAX7Qqr'",0.2,1.2
"b'I\xe2\x80\x99m focused on what the matrix has shown me .. Ethereum 2.0 watch as eth goes to 20,000 ..  #Ethereum #eth #eth2 #investing'",0.1,0.4
"b""Looks like a Double Top on $ETH 1M chart... You're welcome. \xf0\x9f\x98\xb1 #ETH #Ethereum @ethereum #DeFi https://t.co/mrmRpGtWMC""",0.5,1.7
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
b'$ETH #Ethereum weekly chart - Kiss the sky https://t.co/TTLx8iWCnn',0.0,0.0
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
b'POINT SHOT !!! \xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\xf0\x9f\x8e\xaf\n\nALGO / BTC (Before &amp; after)\n\n#ALGOBTC hit all the targets in #chart below.\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\n\n47 % profit in pocket totally.\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\xf0\x9f\x92\xb0\n\nMission completed for me again.\xf0\x9f\x98\x83\n\n#algo #algobtc #algousdt $algo #algorand #Bitcoin #BTC #ethereum #ETH $eth $btc $bnb #BNB #BTCUSDT https://t.co/u3vc7YnqwU https://t.co/vx9DtNFDRD',0.1,1.9
b'Buy BTCSHT\n\n1 Eth | $1232 | 100 BTCSHT\n\nTo purchase BTCSHT\n\nSend ETH to : 0x17A70a341a9cc657bCA097fAb92BBAd7724C3383\n\n1 ETH = 100 BTCSHT\n\nRetweet\nFollow\nTag 5 others to win Bounty reward\nComment waller address\n\n#ico #airdrops #eth https://t.co/2DZxVC9kb5',0.1,1.0
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
"b'(2/2)\xf0\x9f\x92\x81\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8fWrapped Bitcoin (#WBTC) is pegged to Bitcoin and has over $3B worth of #Bitcoin in custody, while Wrapped Ether (#WETH) is pegged to Ether. @BitGo is the sole custodian for the underlying #BTC and #ETH.'",-0.1,0.2
"b'Top 10 https://t.co/2VriAuMQtL trending searches as of 9:34PM UTC Sat, Jan 23\n$bat #basicattentiontoken\n$nim #nimiq\n$link #chainlink\n$ankr #ankr\n$xtz #tezos\n$albt #allianceblock\n$btc #bitcoin\n$mana #decentraland\n$eth #ethereum\n$vet #vechain https://t.co/l9vXtP7L1x'",0.2,0.2
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
b'\xf0\x9f\x8e\x81\xf0\x9f\x8e\x89 GIVEAWAY \n 200$ #BNB + 100 $KEBAB \n\nParticipate:\n\xf0\x9f\x91\x89 #RT\n\xf0\x9f\x91\x89 Follow Us\n\xf0\x9f\x91\x89 #Tag 3 friends in a comment\n\n\xf0\x9f\x95\x92 4 winner will be selected on 24 january\n\n#crypto #btc #Eth #BinanceSmartChain #Airdrop #giveaway #bitcoin\n#Binance #Trustwallet #PancakeSwap',0.3,1.2
b'What are your picks for this altcoin cycle?           Somayacrypto is holding strong $LINK and $AMPL.                             Share your top tickers for this season.\n#ALTSEASON #Ethereum #BTC #link #ampl #defi #altcoins #Binance',0.1,0.8
"b'We are doing a $50 weekly giveaway to 1 follower each week that retweets this and replies ""#CryptoNews"". \nGood luck! #Bitcoin #Ethereum \xf0\x9f\x9a\x80\nhttps://t.co/vrg0ixC69d'",0.3,1.5
"b'GIVE AWAY FOR 2021, I have remaining $1,000.00 Plus USDT-ERC20 to my old ETH wallet. 3 winners will receive $333 usdt.\n\nTO ENTER:\n\xe2\x9c\x85 follow me\n\xe2\x9c\x85 Retweet &amp; like\n\xe2\x9c\x85 Tag 3 friends\n\nWinners after 72Hours\n\n#Bitcoin\n#Ethereum\n#Cryptocurrency\n#Giveaway\n#airdrop\n\n@coinkit_ com 5 40 dvt'",0.0,1.2
"b""@SoHaptic It'll \xf0\x9f\x9a\x80, then finally settle around $.30 \xf0\x9f\x94\xa5\n\n#Telcoin Market Cap in 2025: $30 Billion \n\n$TEL #TEL #XRP $XRP #XRPArmy #Bitcoin\xc2\xa0#Ethereum #ETH $ETH $BTC #BTC\xc2\xa0 $UBX #UBX $EXRN #Ripple #Crypto #Cryptocurrency #KuCoin #Binance\xc2\xa0#Coinbase #AltCoins #AltSeason\n\nhttps://t.co/giHSReuoSs https://t.co/YOmeg3HjBK""",0.1,0.6
b'Investments are more than financial \xf0\x9f\x92\xa1\n\nLearn as much as you can about #Ethereum \xf0\x9f\xa7\xa0\n\nIt will pay off massively in the long run. https://t.co/gpCbEL8cgS',0.5,2.0
"b'GIVE AWAY FOR 2021, I have remaining $1,000.00 Plus USDT-ERC20 to my old ETH wallet. 3 winners will receive $333 usdt.\n\nTO ENTER:\n\xe2\x9c\x85 follow me\n\xe2\x9c\x85 Retweet &amp; like\n\xe2\x9c\x85 Tag 3 friends\n\nWinners after 72Hours\n\n#Bitcoin\n#Ethereum\n#Cryptocurrency\n#Giveaway\n#airdrop\n\n@coinkit_ com 5 40 dvt'",0.0,1.2
"b""Bitconnect Is Back with New Version. Get Ready to Build Your Future with Etherconnect(ECC) Today.\n\nSo let's connect your team together and join the official launch. \n\n\xe2\x9c\x85 Contact Us Now\xf0\x9f\x91\x89https://t.co/GhHZTUW7Fy\n\n#Ethereum #ECC #Crypto #Worldwide #Comingsoon #Ethreconnect https://t.co/OucU53Xjar""",0.1,0.8
"b'Here are a couple Alt coins I like &amp; their potential Measured Move Targets \xf0\x9f\x8e\xaf--\n\n$DOT \xf0\x9f\x8e\xaf 26.49\n\n(I also like the 12% staking on @krakenfx )\n\n$UNI \xf0\x9f\x8e\xaf 12.60, 13.23\n\n#altcoins #AltSeason\n#Polkadot #Uniswap #DeFi\n#Bitcoin #BTC $BTC $ETH #ETH #Ethereum $LINK \n#Crypto #cryptocurrencies https://t.co/mP8BDXWaaJ'",0.2,1.3
"b""@SoHaptic It'll \xf0\x9f\x9a\x80, then finally settle around $.30 \xf0\x9f\x94\xa5\n\n#Telcoin Market Cap in 2025: $30 Billion \n\n$TEL #TEL #XRP $XRP #XRPArmy #Bitcoin\xc2\xa0#Ethereum #ETH $ETH $BTC #BTC\xc2\xa0 $UBX #UBX $EXRN #Ripple #Crypto #Cryptocurrency #KuCoin #Binance\xc2\xa0#Coinbase #AltCoins #AltSeason\n\nhttps://t.co/giHSReuoSs https://t.co/YOmeg3HjBK""",0.1,0.6
"b'\xf0\x9f\x8c\xa0Take three minutes to learn how $Dash wins making instant, cheap, global transactions happen.\xf0\x9f\x8c\xa0\n\n\xf0\x9f\xa5\x82You will not regret it.\xf0\x9f\xa5\x82\n\n#DASHto500 #btc #crypto #ETH \n\n\xf0\x9f\x92\xb0The person that retweets this who has the most followers wins $25 of $Dash in next 24 hrs\xf0\x9f\x92\xb0\n\nhttps://t.co/66Px233ADN'",0.2,2.1
b'Pundix NPXs 1000x the alt season sleeping giant\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80#btc\xc2\xa0\xc2\xa0 #Bitcoin\xc2\xa0\xc2\xa0 #  #eth #defi #VeChain #Polkadot #ADA #xrp #Altseason2021 #cryptocurrency  #Litecoin #eos #AAVE #cardano #ada #xlm #Stellar #blockchain #trx #xvg #dogecoin #1000x #money #investment #npxs #pundix #crypto',0.0,0.0
"b""Calling out my followers, grab a position in $NSAV \n\nI never tell you what to buy, so this is a first for me \xf0\x9f\xa4\x9e\n\nHottest market is #Bitcoin #cryptocurrency #Ethereum #blockchain\n\nSo read yesterday's PR, you'll understand me https://t.co/HV7Rr1HCku\n\nIf all comes to Fruition $0.05+""",0.1,0.8
